level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-1-1-v0,0,251.0,0.0,32,0
SuperMarioBros-1-1-v0,1,251.0,0.0,30,0
SuperMarioBros-1-1-v0,2,263.0,1.876725005209446,25,0
SuperMarioBros-1-1-v0,3,1293.0,0.1502955792729491,318,0
SuperMarioBros-1-1-v0,4,626.0,0.20096138067310676,64,0
SuperMarioBros-1-1-v0,5,247.0,0.38577063257495564,30,0
SuperMarioBros-1-1-v0,6,627.0,0.15181889207451604,128,0
SuperMarioBros-1-1-v0,7,612.0,0.24447471341027796,103,0
SuperMarioBros-1-1-v0,8,265.0,0.40032861977815626,30,0
SuperMarioBros-1-1-v0,9,251.0,0.28807611922000315,47,0
SuperMarioBros-1-1-v0,10,287.0,0.3853820691506068,15,0
SuperMarioBros-1-1-v0,11,257.0,0.3745874172911562,29,0
SuperMarioBros-1-1-v0,12,266.0,0.337664725035429,25,0
SuperMarioBros-1-1-v0,13,251.0,0.3063397996593267,32,0
SuperMarioBros-1-1-v0,14,814.0,0.17042009610157072,163,0
SuperMarioBros-1-1-v0,15,278.0,0.3216214087747392,21,0
SuperMarioBros-1-1-v0,16,1022.0,0.19751104741079503,228,0
SuperMarioBros-1-1-v0,17,651.0,0.20352156626490447,130,0
SuperMarioBros-1-1-v0,18,1316.0,0.18070054047061626,207,0
SuperMarioBros-1-1-v0,19,958.0,0.12251912667576609,348,0
SuperMarioBros-1-1-v0,20,267.0,0.2508419981598854,25,0
SuperMarioBros-1-1-v0,21,819.0,0.20119881507620882,134,0
SuperMarioBros-1-1-v0,22,238.0,0.13380233685557658,26,0
SuperMarioBros-1-1-v0,23,705.0,0.17547385852065003,285,0
SuperMarioBros-1-1-v0,24,255.0,0.10534451901912689,23,0
SuperMarioBros-1-1-v0,25,262.0,0.2117758709937334,24,0
SuperMarioBros-1-1-v0,26,650.0,0.24192297090213377,91,0
SuperMarioBros-1-1-v0,27,630.0,0.2554116162534495,133,0
SuperMarioBros-1-1-v0,28,284.0,0.518462084647682,18,0
SuperMarioBros-1-1-v0,29,276.0,0.31465794779360295,20,0
SuperMarioBros-1-1-v0,30,267.0,0.2782734497139851,30,0
SuperMarioBros-1-1-v0,31,227.0,0.3200196474790573,37,0
SuperMarioBros-1-1-v0,32,285.0,0.3093804631382227,20,0
SuperMarioBros-1-1-v0,33,777.0,0.2517024601427461,173,0
SuperMarioBros-1-1-v0,34,277.0,0.15105955799420676,24,0
SuperMarioBros-1-1-v0,35,1057.0,0.28715558846791583,135,0
SuperMarioBros-1-1-v0,36,251.0,0.36434519244357944,32,0
