level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-1-1-v0,0,761.0,1.8695421861144748,411,0
SuperMarioBros-1-1-v0,1,251.0,1.1431042563283085,33,0
SuperMarioBros-1-1-v0,2,225.0,2.313552478526501,47,0
SuperMarioBros-1-1-v0,3,935.0,0.5448894390463829,675,0
SuperMarioBros-1-1-v0,4,555.0,0.872860822516183,240,0
SuperMarioBros-1-1-v0,5,1029.0,1.2132944695099637,324,0
SuperMarioBros-1-1-v0,6,1014.0,1.2972211077702132,278,0
SuperMarioBros-1-1-v0,7,595.0,1.874377018058455,154,0
SuperMarioBros-1-1-v0,8,635.0,1.9272557218228616,93,0
SuperMarioBros-1-1-v0,9,241.0,2.1928875487711696,36,0
SuperMarioBros-1-1-v0,10,790.0,1.3699680213977958,1534,0
SuperMarioBros-1-1-v0,11,612.0,1.7715194068171762,165,0
SuperMarioBros-1-1-v0,12,247.0,1.6457589368025465,30,0
SuperMarioBros-1-1-v0,13,228.0,2.833572787207526,37,0
SuperMarioBros-1-1-v0,14,621.0,3.1923697283191066,93,0
SuperMarioBros-1-1-v0,15,636.0,4.298441428138363,155,0
SuperMarioBros-1-1-v0,16,239.0,3.557547580254705,38,0
SuperMarioBros-1-1-v0,17,890.0,2.968686853034304,918,0
SuperMarioBros-1-1-v0,18,712.0,3.2127533399982493,469,0
SuperMarioBros-1-1-v0,19,753.0,3.6160610621316094,175,0
SuperMarioBros-1-1-v0,20,248.0,5.5131692241978,37,0
SuperMarioBros-1-1-v0,21,706.0,4.973396961659068,478,0
SuperMarioBros-1-1-v0,22,648.0,4.522177819201821,95,0
SuperMarioBros-1-1-v0,23,240.0,6.886617912564959,35,0
SuperMarioBros-1-1-v0,24,770.0,6.975507775439492,158,0
SuperMarioBros-1-1-v0,25,249.0,8.250102704221552,33,0
SuperMarioBros-1-1-v0,26,950.0,6.363074066972888,614,0
SuperMarioBros-1-1-v0,27,804.0,7.996504628658295,200,0
SuperMarioBros-1-1-v0,28,803.0,8.320569336123583,205,0
SuperMarioBros-1-1-v0,29,248.0,6.720356917381286,30,0
SuperMarioBros-1-1-v0,30,246.0,7.086948184406056,34,0
SuperMarioBros-1-1-v0,31,719.0,9.132933855056764,152,0
SuperMarioBros-1-1-v0,32,1021.0,11.835188414992356,246,0
SuperMarioBros-1-1-v0,33,602.0,11.814865166836595,94,0
SuperMarioBros-1-1-v0,34,590.0,10.509089846149264,1012,0
SuperMarioBros-1-1-v0,35,764.0,9.45939293895105,396,0
SuperMarioBros-1-1-v0,36,236.0,9.945705786729471,39,0
SuperMarioBros-1-1-v0,37,248.0,7.846464697519938,30,0
SuperMarioBros-1-1-v0,38,624.0,10.623719735145569,100,0
SuperMarioBros-1-1-v0,39,248.0,9.443348735570908,32,0
SuperMarioBros-1-1-v0,40,800.0,11.392869813257157,219,0
SuperMarioBros-1-1-v0,41,706.0,12.507754603041274,689,0
SuperMarioBros-1-1-v0,42,638.0,14.579869934376454,149,0
SuperMarioBros-1-1-v0,43,224.0,14.445090421816198,41,0
SuperMarioBros-1-1-v0,44,239.0,10.621024443043602,36,0
SuperMarioBros-1-1-v0,45,589.0,19.172292157455725,108,0
SuperMarioBros-1-1-v0,46,242.0,21.01145658185405,31,0
SuperMarioBros-1-1-v0,47,249.0,17.390752124786378,35,0
SuperMarioBros-1-1-v0,48,236.0,22.339093466062803,37,0
SuperMarioBros-1-1-v0,49,251.0,19.10656559467316,32,0
SuperMarioBros-1-1-v0,50,231.0,32.669694754812454,36,0
SuperMarioBros-1-1-v0,51,1261.0,21.200241272487947,496,0
SuperMarioBros-1-1-v0,52,267.0,20.835549625910428,2005,0
SuperMarioBros-1-1-v0,53,651.0,16.675275249245725,81,0
SuperMarioBros-1-1-v0,54,235.0,19.78875550958845,36,0
SuperMarioBros-1-1-v0,55,746.0,21.405393978580832,256,0
SuperMarioBros-1-1-v0,56,620.0,23.816478756935364,155,0
SuperMarioBros-1-1-v0,57,622.0,27.146991560194227,90,0
SuperMarioBros-1-1-v0,58,623.0,28.82569506028119,85,0
SuperMarioBros-1-1-v0,59,754.0,28.74919957413705,449,0
SuperMarioBros-1-1-v0,60,243.0,22.35093688964844,37,0
SuperMarioBros-1-1-v0,61,246.0,28.52761967117722,37,0
SuperMarioBros-1-1-v0,62,630.0,28.67267831166585,93,0
SuperMarioBros-1-1-v0,63,617.0,31.711851322904547,94,0
SuperMarioBros-1-1-v0,64,594.0,34.47795695884555,102,0
SuperMarioBros-1-1-v0,65,1273.0,36.63304567882276,962,0
SuperMarioBros-1-1-v0,66,888.0,41.16663513322526,961,0
SuperMarioBros-1-1-v0,67,243.0,55.45879585512223,31,0
SuperMarioBros-1-1-v0,68,611.0,39.94495652272151,78,0
SuperMarioBros-1-1-v0,69,575.0,49.24944956137296,1341,0
SuperMarioBros-1-1-v0,70,639.0,47.65148710542255,144,0
SuperMarioBros-1-1-v0,71,639.0,51.2451990975274,144,0
SuperMarioBros-1-1-v0,72,856.0,53.917922748447246,1063,0
SuperMarioBros-1-1-v0,73,638.0,63.89483342105395,146,0
SuperMarioBros-1-1-v0,74,784.0,56.58075924754544,297,0
SuperMarioBros-1-1-v0,75,239.0,62.23668132108801,34,0
SuperMarioBros-1-1-v0,76,787.0,66.79171821730478,280,0
SuperMarioBros-1-1-v0,77,249.0,69.75759681065877,30,0
SuperMarioBros-1-1-v0,78,637.0,60.32318587085001,153,0
SuperMarioBros-1-1-v0,79,234.0,62.36710047721863,40,0
SuperMarioBros-1-1-v0,80,1218.0,75.84015030339539,1253,0
SuperMarioBros-1-1-v0,81,795.0,95.64796111622796,244,0
SuperMarioBros-1-1-v0,82,227.0,61.10651202428909,42,0
SuperMarioBros-1-1-v0,83,250.0,159.35283649989535,35,0
SuperMarioBros-1-1-v0,84,617.0,88.52040850321451,165,0
SuperMarioBros-1-1-v0,85,233.0,77.06794753074647,40,0
SuperMarioBros-1-1-v0,86,239.0,88.0957485500135,38,0
SuperMarioBros-1-1-v0,87,789.0,101.62443038799144,270,0
SuperMarioBros-1-1-v0,88,634.0,100.16269340515136,165,0
SuperMarioBros-1-1-v0,89,745.0,102.5425189971924,495,0
SuperMarioBros-1-1-v0,90,230.0,116.65297231674194,40,0
SuperMarioBros-1-1-v0,91,623.0,119.14327507375556,107,0
SuperMarioBros-1-1-v0,92,639.0,104.62637426498088,141,0
SuperMarioBros-1-1-v0,93,635.0,112.74278804234096,161,0
SuperMarioBros-1-1-v0,94,719.0,130.50786046512792,183,0
SuperMarioBros-1-1-v0,95,862.0,121.16935120422885,1057,0
SuperMarioBros-1-1-v0,96,992.0,129.80836665091203,398,0
SuperMarioBros-1-1-v0,97,610.0,152.954711432206,285,0
SuperMarioBros-1-1-v0,98,1237.0,137.50288406296156,603,0
SuperMarioBros-1-1-v0,99,919.0,144.2518378175581,766,0
SuperMarioBros-1-1-v0,100,596.0,166.18428489397158,106,0
SuperMarioBros-1-1-v0,101,799.0,156.00523911203658,224,0
SuperMarioBros-1-1-v0,102,233.0,150.9868979734533,34,0
SuperMarioBros-1-1-v0,103,225.0,199.13922901642627,39,0
SuperMarioBros-1-1-v0,104,630.0,140.36569504737855,80,0
SuperMarioBros-1-1-v0,105,236.0,141.91386882237026,35,0
SuperMarioBros-1-1-v0,106,626.0,182.13965900127704,91,0
SuperMarioBros-1-1-v0,107,221.0,184.1021680831909,40,0
SuperMarioBros-1-1-v0,108,246.0,272.24764665876114,35,0
SuperMarioBros-1-1-v0,109,582.0,214.1817997108072,118,0
SuperMarioBros-1-1-v0,110,638.0,186.3309572855632,150,0
SuperMarioBros-1-1-v0,111,1322.0,178.07026221658836,281,0
SuperMarioBros-1-1-v0,112,639.0,169.24657040172153,144,0
SuperMarioBros-1-1-v0,113,246.0,173.18476957433364,34,0
SuperMarioBros-1-1-v0,114,736.0,210.1371461272581,349,0
SuperMarioBros-1-1-v0,115,245.0,269.4656171162923,30,0
SuperMarioBros-1-1-v0,116,639.0,237.7459217910225,141,0
SuperMarioBros-1-1-v0,117,1268.0,203.48617836782864,535,0
SuperMarioBros-1-1-v0,118,235.0,218.95683203803168,36,0
SuperMarioBros-1-1-v0,119,714.0,224.07420622847465,262,0
SuperMarioBros-1-1-v0,120,626.0,226.8666417945936,206,0
SuperMarioBros-1-1-v0,121,650.0,205.30327255075628,88,0
SuperMarioBros-1-1-v0,122,600.0,246.23078174591063,100,0
SuperMarioBros-1-1-v0,123,250.0,212.88096592344087,29,0
SuperMarioBros-1-1-v0,124,1339.0,214.55078617651856,199,0
SuperMarioBros-1-1-v0,125,1101.0,248.2262866050685,438,0
SuperMarioBros-1-1-v0,126,633.0,244.53216782436576,93,0
SuperMarioBros-1-1-v0,127,1147.0,268.1439856076412,1112,0
SuperMarioBros-1-1-v0,128,815.0,251.5109855164873,141,0
SuperMarioBros-1-1-v0,129,634.0,299.7680503100884,82,0
SuperMarioBros-1-1-v0,130,618.0,283.60182885364094,113,0
SuperMarioBros-1-1-v0,131,229.0,335.97957134246826,40,0
SuperMarioBros-1-1-v0,132,1168.0,296.6470646065947,969,0
SuperMarioBros-1-1-v0,133,580.0,278.9874956754712,211,0
SuperMarioBros-1-1-v0,134,1025.0,273.65094147425265,219,0
SuperMarioBros-1-1-v0,135,666.0,344.58745329003585,532,0
SuperMarioBros-1-1-v0,136,251.0,258.28827107747395,30,0
SuperMarioBros-1-1-v0,137,225.0,311.6952388763428,40,0
SuperMarioBros-1-1-v0,138,231.0,295.2851542422646,38,0
SuperMarioBros-1-1-v0,139,648.0,328.90759205818176,96,0
SuperMarioBros-1-1-v0,140,959.0,314.04368532304284,556,0
SuperMarioBros-1-1-v0,141,248.0,415.6525165188697,31,0
SuperMarioBros-1-1-v0,142,624.0,335.75113216015177,109,0
SuperMarioBros-1-1-v0,143,635.0,301.7572370730572,161,0
SuperMarioBros-1-1-v0,144,224.0,282.372073051257,39,0
SuperMarioBros-1-1-v0,145,1028.0,355.6740688976941,222,0
SuperMarioBros-1-1-v0,146,230.0,245.10844916266365,37,0
SuperMarioBros-1-1-v0,147,251.0,431.8366377088759,36,0
SuperMarioBros-1-1-v0,148,242.0,397.9150621686663,35,0
SuperMarioBros-1-1-v0,149,233.0,266.75384044647217,40,0
SuperMarioBros-1-1-v0,150,1184.0,375.228177339354,983,0
SuperMarioBros-1-1-v0,151,1028.0,379.094506738541,235,0
SuperMarioBros-1-1-v0,152,653.0,363.0156495603797,73,0
SuperMarioBros-1-1-v0,153,601.0,349.1521068149143,90,0
SuperMarioBros-1-1-v0,154,1219.0,387.52801445397466,704,0
SuperMarioBros-1-1-v0,155,899.0,417.3987241201272,884,0
SuperMarioBros-1-1-v0,156,242.0,461.2296679019928,32,0
SuperMarioBros-1-1-v0,157,232.0,344.61872952483424,43,0
SuperMarioBros-1-1-v0,158,1030.0,433.6491193200788,234,0
SuperMarioBros-1-1-v0,159,730.0,461.4982686789639,166,0
SuperMarioBros-1-1-v0,160,637.0,423.9773952930005,77,0
SuperMarioBros-1-1-v0,161,728.0,409.2450677394867,160,0
SuperMarioBros-1-1-v0,162,608.0,373.2172431575442,103,0
SuperMarioBros-1-1-v0,163,763.0,423.6148938578944,155,0
SuperMarioBros-1-1-v0,164,243.0,362.87430221970016,37,0
SuperMarioBros-1-1-v0,165,635.0,549.3024104048566,82,0
SuperMarioBros-1-1-v0,166,1316.0,464.8154532466727,307,0
SuperMarioBros-1-1-v0,167,637.0,519.8059223503467,151,0
SuperMarioBros-1-1-v0,168,775.0,506.3232741146144,341,0
SuperMarioBros-1-1-v0,169,214.0,395.8985292301622,43,0
SuperMarioBros-1-1-v0,170,1095.0,518.988988182514,1402,0
SuperMarioBros-1-1-v0,171,241.0,489.7364770989669,38,0
SuperMarioBros-1-1-v0,172,1208.0,582.2133262391184,816,0
SuperMarioBros-1-1-v0,173,247.0,542.7649050625888,33,0
SuperMarioBros-1-1-v0,174,637.0,595.8005568949382,150,0
SuperMarioBros-1-1-v0,175,787.0,589.3420000721127,281,0
SuperMarioBros-1-1-v0,176,237.0,623.0629406553326,33,0
SuperMarioBros-1-1-v0,177,751.0,581.1954734556136,465,0
SuperMarioBros-1-1-v0,178,799.0,675.6793562399374,222,0
SuperMarioBros-1-1-v0,179,635.0,618.7629806518555,160,0
SuperMarioBros-1-1-v0,180,613.0,685.1090463854603,97,0
SuperMarioBros-1-1-v0,181,238.0,843.6777727227462,38,0
SuperMarioBros-1-1-v0,182,1044.0,634.2201308647211,137,0
SuperMarioBros-1-1-v0,183,238.0,553.3079208374023,40,0
SuperMarioBros-1-1-v0,184,738.0,735.8738942247757,376,0
SuperMarioBros-1-1-v0,185,709.0,673.3323913921009,176,0
SuperMarioBros-1-1-v0,186,637.0,652.5477016850522,152,0
SuperMarioBros-1-1-v0,187,247.0,518.2050821940104,30,0
SuperMarioBros-1-1-v0,188,228.0,660.6444949195499,42,0
SuperMarioBros-1-1-v0,189,237.0,595.293210220337,40,0
SuperMarioBros-1-1-v0,190,629.0,708.868599164604,101,0
SuperMarioBros-1-1-v0,191,877.0,711.396923022928,993,0
SuperMarioBros-1-1-v0,192,916.0,728.831484395319,781,0
SuperMarioBros-1-1-v0,193,795.0,848.5158929043129,244,0
SuperMarioBros-1-1-v0,194,997.0,775.2747676952465,370,0
SuperMarioBros-1-1-v0,195,244.0,761.0840953480114,33,0
SuperMarioBros-1-1-v0,196,708.0,851.2270774012027,368,0
SuperMarioBros-1-1-v0,197,240.0,819.3149397566511,37,0
SuperMarioBros-1-1-v0,198,627.0,817.1885304067326,87,0
SuperMarioBros-1-1-v0,199,239.0,699.9691332135882,35,0
SuperMarioBros-1-1-v0,200,229.0,800.7555787621475,41,0
SuperMarioBros-1-1-v0,201,236.0,835.4753902659696,34,0
SuperMarioBros-1-1-v0,202,890.0,872.456013698204,918,0
SuperMarioBros-1-1-v0,203,990.0,859.8283907083364,416,0
SuperMarioBros-1-1-v0,204,617.0,942.1173897969354,97,0
SuperMarioBros-1-1-v0,205,1194.0,906.6976467094884,911,0
SuperMarioBros-1-1-v0,206,610.0,900.335980697417,71,0
SuperMarioBros-1-1-v0,207,240.0,1001.8689611098346,34,0
SuperMarioBros-1-1-v0,208,241.0,796.9815192945076,33,0
SuperMarioBros-1-1-v0,209,249.0,853.1452131600215,29,0
SuperMarioBros-1-1-v0,210,1256.0,948.0153052513892,1001,0
SuperMarioBros-1-1-v0,211,639.0,987.6740454537528,140,0
SuperMarioBros-1-1-v0,212,577.0,963.3468205682162,116,0
SuperMarioBros-1-1-v0,213,246.0,852.3900361902573,34,0
SuperMarioBros-1-1-v0,214,222.0,840.4712058619449,38,0
SuperMarioBros-1-1-v0,215,614.0,1030.853845422918,88,0
SuperMarioBros-1-1-v0,216,994.0,1097.7098898186052,401,0
SuperMarioBros-1-1-v0,217,235.0,869.8746233258929,35,0
SuperMarioBros-1-1-v0,218,235.0,1133.7693176269531,35,0
SuperMarioBros-1-1-v0,219,773.0,1098.246274564489,353,0
SuperMarioBros-1-1-v0,220,621.0,988.261551920573,90,0
SuperMarioBros-1-1-v0,221,243.0,969.0289498465402,35,0
SuperMarioBros-1-1-v0,222,636.0,1002.014913314428,156,0
SuperMarioBros-1-1-v0,223,601.0,899.2817301940918,100,0
SuperMarioBros-1-1-v0,224,617.0,1074.88811539544,720,0
SuperMarioBros-1-1-v0,225,600.0,1016.0873602294922,100,0
SuperMarioBros-1-1-v0,226,827.0,1035.2580043976154,1227,0
SuperMarioBros-1-1-v0,227,1310.0,1012.6459312037416,190,0
SuperMarioBros-1-1-v0,228,246.0,996.9377639358108,37,0
SuperMarioBros-1-1-v0,229,598.0,985.3254952063928,104,0
SuperMarioBros-1-1-v0,230,591.0,1148.3371315696022,110,0
SuperMarioBros-1-1-v0,231,695.0,1117.945675309882,332,0
SuperMarioBros-1-1-v0,232,637.0,1139.377202152427,153,0
SuperMarioBros-1-1-v0,233,623.0,1102.7558321566196,222,0
SuperMarioBros-1-1-v0,234,1011.0,1210.4341988642225,303,0
SuperMarioBros-1-1-v0,235,991.0,1133.8909687147782,506,0
SuperMarioBros-1-1-v0,236,241.0,1103.5257381863064,36,0
SuperMarioBros-1-1-v0,237,1367.0,1159.863816131526,463,0
SuperMarioBros-1-1-v0,238,597.0,1453.64208228435,109,0
SuperMarioBros-1-1-v0,239,233.0,1124.7974133613782,39,0
SuperMarioBros-1-1-v0,240,580.0,1287.390139770508,150,0
SuperMarioBros-1-1-v0,241,649.0,1268.3313086258738,95,0
SuperMarioBros-1-1-v0,242,232.0,1274.1957473754885,44,0
SuperMarioBros-1-1-v0,243,1297.0,1216.0041472163514,274,0
SuperMarioBros-1-1-v0,244,245.0,1324.2389669418335,32,0
SuperMarioBros-1-1-v0,245,918.0,1392.3821164399192,765,0
SuperMarioBros-1-1-v0,246,1019.0,1396.959834484344,376,0
SuperMarioBros-1-1-v0,247,636.0,1402.962651090802,159,0
SuperMarioBros-1-1-v0,248,234.0,1367.0682312011718,35,0
