level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-4-1-v0,0,475.0,0.0,62,388
SuperMarioBros-4-1-v0,1,345.0,141.18861822434414,81,384
SuperMarioBros-4-1-v0,2,1219.0,20600.416611548182,147,371
SuperMarioBros-4-1-v0,3,374.0,29141.60799598694,80,384
SuperMarioBros-4-1-v0,4,383.0,44231.586647807686,69,387
SuperMarioBros-4-1-v0,5,412.0,63656.31018494723,114,378
SuperMarioBros-4-1-v0,6,1205.0,60904.25485581618,208,359
SuperMarioBros-4-1-v0,7,309.0,28436.833153187144,110,379
SuperMarioBros-4-1-v0,8,480.0,10369.566912901055,103,380
SuperMarioBros-4-1-v0,9,385.0,5704.427843960849,66,387
SuperMarioBros-4-1-v0,10,1224.0,9470.404723228767,171,366
SuperMarioBros-4-1-v0,11,460.0,10969.007625461854,97,381
SuperMarioBros-4-1-v0,12,490.0,5868.331837972005,60,388
SuperMarioBros-4-1-v0,13,472.0,4956.73551959302,83,384
SuperMarioBros-4-1-v0,14,471.0,3885.416177772614,83,384
SuperMarioBros-4-1-v0,15,452.0,9427.3299671755,118,377
SuperMarioBros-4-1-v0,16,460.0,11688.516220742084,94,382
SuperMarioBros-4-1-v0,17,383.0,12860.37512775496,102,380
SuperMarioBros-4-1-v0,18,378.0,6546.627846240997,64,388
SuperMarioBros-4-1-v0,19,281.0,8649.874957460346,33,394
SuperMarioBros-4-1-v0,20,395.0,8092.223102276142,65,388
SuperMarioBros-4-1-v0,21,391.0,4217.90152478574,67,387
SuperMarioBros-4-1-v0,22,1196.0,2821.124986152817,227,355
SuperMarioBros-4-1-v0,23,327.0,5725.125575065613,96,381
SuperMarioBros-4-1-v0,24,398.0,6002.0150241336305,74,386
SuperMarioBros-4-1-v0,25,1199.0,19153.629613586745,191,362
SuperMarioBros-4-1-v0,26,377.0,5907.013657007462,78,385
SuperMarioBros-4-1-v0,27,330.0,6395.8328195636195,89,383
SuperMarioBros-4-1-v0,28,402.0,16262.04989225968,69,387
SuperMarioBros-4-1-v0,29,378.0,5655.679816143329,65,387
SuperMarioBros-4-1-v0,30,386.0,3459.742371060955,67,387
SuperMarioBros-4-1-v0,31,396.0,2714.839071173417,57,389
SuperMarioBros-4-1-v0,32,1216.0,4494.688557942708,174,366
SuperMarioBros-4-1-v0,33,378.0,9171.410143534342,72,386
SuperMarioBros-4-1-v0,34,369.0,4726.827683319917,74,386
SuperMarioBros-4-1-v0,35,1223.0,12683.653004964193,168,367
SuperMarioBros-4-1-v0,36,1728.0,33099.55627769112,298,341
SuperMarioBros-4-1-v0,37,393.0,5596.567394080529,65,387
SuperMarioBros-4-1-v0,38,1962.0,9418.869694890203,407,319
SuperMarioBros-4-1-v0,39,366.0,8294.955547736672,85,383
SuperMarioBros-4-1-v0,40,475.0,9160.323733639407,77,385
SuperMarioBros-4-1-v0,41,387.0,8250.03540215976,69,387
SuperMarioBros-4-1-v0,42,412.0,11167.65126787606,59,389
SuperMarioBros-4-1-v0,43,472.0,6092.681870571402,86,383
SuperMarioBros-4-1-v0,44,462.0,5821.188178308232,97,381
SuperMarioBros-4-1-v0,45,472.0,8645.115922675075,83,384
SuperMarioBros-4-1-v0,46,338.0,9858.003149414062,90,382
SuperMarioBros-4-1-v0,47,474.0,5238.287642195418,74,386
SuperMarioBros-4-1-v0,48,379.0,6828.876899826694,71,386
SuperMarioBros-4-1-v0,49,468.0,4301.161476505613,103,380
SuperMarioBros-4-1-v0,50,466.0,4159.139548456101,105,379
SuperMarioBros-4-1-v0,51,368.0,5045.690763103428,67,387
SuperMarioBros-4-1-v0,52,327.0,4880.9461919312835,93,382
SuperMarioBros-4-1-v0,53,467.0,2524.817643088856,87,383
SuperMarioBros-4-1-v0,54,1184.0,4103.491031172263,201,360
SuperMarioBros-4-1-v0,55,412.0,2549.8630349677906,57,389
SuperMarioBros-4-1-v0,56,397.0,4129.058643341064,64,388
SuperMarioBros-4-1-v0,57,397.0,3211.821082356771,75,385
SuperMarioBros-4-1-v0,58,390.0,2266.7965698242188,60,389
SuperMarioBros-4-1-v0,59,334.0,1841.3633280003326,94,382
SuperMarioBros-4-1-v0,60,394.0,3390.635222958847,71,386
SuperMarioBros-4-1-v0,61,469.0,3061.402940728691,89,383
SuperMarioBros-4-1-v0,62,395.0,2084.8113999139696,63,388
SuperMarioBros-4-1-v0,63,397.0,1304.344455425556,52,390
SuperMarioBros-4-1-v0,64,332.0,1343.8685374158495,94,382
SuperMarioBros-4-1-v0,65,1186.0,1470.378347803858,239,353
SuperMarioBros-4-1-v0,66,954.0,1547.0620858328682,168,367
SuperMarioBros-4-1-v0,67,469.0,1941.6683795887936,93,382
SuperMarioBros-4-1-v0,68,403.0,5230.992677718874,63,388
SuperMarioBros-4-1-v0,69,466.0,1573.9086649824933,82,384
SuperMarioBros-4-1-v0,70,411.0,1148.6074080557194,53,390
SuperMarioBros-4-1-v0,71,393.0,1178.612798875378,62,388
SuperMarioBros-4-1-v0,72,389.0,1047.1347271259015,65,388
SuperMarioBros-4-1-v0,73,406.0,1204.3079737910518,54,390
SuperMarioBros-4-1-v0,74,481.0,1401.802504380544,96,381
SuperMarioBros-4-1-v0,75,380.0,1247.922381591797,65,387
SuperMarioBros-4-1-v0,76,458.0,1105.7766284760974,105,380
SuperMarioBros-4-1-v0,77,378.0,841.5080638684725,76,385
SuperMarioBros-4-1-v0,78,381.0,1693.8708611690636,66,387
SuperMarioBros-4-1-v0,79,394.0,1007.1516025767606,68,387
SuperMarioBros-4-1-v0,80,474.0,1411.2664433070593,70,387
SuperMarioBros-4-1-v0,81,463.0,1701.7525401759792,74,386
SuperMarioBros-4-1-v0,82,461.0,879.0311609083607,93,382
SuperMarioBros-4-1-v0,83,474.0,801.8512403461295,71,386
SuperMarioBros-4-1-v0,84,462.0,9576.324541701484,97,381
SuperMarioBros-4-1-v0,85,466.0,49064.35193178834,119,377
SuperMarioBros-4-1-v0,86,447.0,817.2914268679735,164,368
SuperMarioBros-4-1-v0,87,438.0,878.1901224468826,218,357
SuperMarioBros-4-1-v0,88,239.0,834.8425460306803,150,371
SuperMarioBros-4-1-v0,89,369.0,817.9814903791561,86,383
SuperMarioBros-4-1-v0,90,349.0,1212.0912123593416,88,383
SuperMarioBros-4-1-v0,91,459.0,781.3232563132107,101,380
SuperMarioBros-4-1-v0,92,465.0,808.3764274597168,80,385
SuperMarioBros-4-1-v0,93,469.0,742.6229509447442,61,388
SuperMarioBros-4-1-v0,94,340.0,615.5450997786088,88,383
SuperMarioBros-4-1-v0,95,465.0,636.3718752427535,88,383
SuperMarioBros-4-1-v0,96,381.0,575.6495946248373,72,386
SuperMarioBros-4-1-v0,97,365.0,1148.66272343816,74,386
SuperMarioBros-4-1-v0,98,364.0,1069.5607568976584,89,383
SuperMarioBros-4-1-v0,99,466.0,598.6467475431512,83,384
SuperMarioBros-4-1-v0,100,471.0,546.5991293907166,80,384
SuperMarioBros-4-1-v0,101,485.0,1241.5482717815198,76,385
SuperMarioBros-4-1-v0,102,408.0,2032.9234416449249,67,387
SuperMarioBros-4-1-v0,103,466.0,1244.4713155573065,66,387
SuperMarioBros-4-1-v0,104,466.0,572.7432285655628,55,389
SuperMarioBros-4-1-v0,105,313.0,399.953130086263,156,369
SuperMarioBros-4-1-v0,106,402.0,476.82261459915725,54,390
SuperMarioBros-4-1-v0,107,394.0,1035.4160584343804,72,386
SuperMarioBros-4-1-v0,108,378.0,558.5004881752861,72,386
SuperMarioBros-4-1-v0,109,310.0,933.6636638183594,125,375
SuperMarioBros-4-1-v0,110,469.0,543.1961945637618,101,380
SuperMarioBros-4-1-v0,111,461.0,611.083559839349,76,385
