level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-1-1-v0,0,251.0,0.0,30,394
SuperMarioBros-1-1-v0,1,250.0,0.0,30,394
SuperMarioBros-1-1-v0,2,250.0,0.0,30,394
SuperMarioBros-1-1-v0,3,250.0,0.0,30,394
SuperMarioBros-1-1-v0,4,628.0,1003.324024380378,106,379
SuperMarioBros-1-1-v0,5,618.0,924.8108281259952,92,382
SuperMarioBros-1-1-v0,6,250.0,875.4380076090495,30,394
SuperMarioBros-1-1-v0,7,245.0,811.951715196882,35,393
SuperMarioBros-1-1-v0,8,237.0,937.0637258257184,35,394
SuperMarioBros-1-1-v0,9,624.0,977.5552841635312,102,380
SuperMarioBros-1-1-v0,10,610.0,769.6908454237313,116,377
SuperMarioBros-1-1-v0,11,617.0,815.0453062358655,95,382
SuperMarioBros-1-1-v0,12,249.0,902.8193120320636,30,394
SuperMarioBros-1-1-v0,13,600.0,841.2153516769409,120,377
SuperMarioBros-1-1-v0,14,237.0,739.5169957478842,36,393
SuperMarioBros-1-1-v0,15,243.0,827.6019695506376,34,394
SuperMarioBros-1-1-v0,16,635.0,815.6944109753864,82,384
SuperMarioBros-1-1-v0,17,239.0,758.3718789236887,35,394
SuperMarioBros-1-1-v0,18,611.0,869.23546073016,68,387
SuperMarioBros-1-1-v0,19,244.0,954.2462319510324,35,394
SuperMarioBros-1-1-v0,20,636.0,893.3781618595124,160,369
SuperMarioBros-1-1-v0,21,1309.0,796.4272265177287,334,334
SuperMarioBros-1-1-v0,22,249.0,741.0485338846843,30,394
SuperMarioBros-1-1-v0,23,637.0,778.9379342466921,91,382
SuperMarioBros-1-1-v0,24,1039.0,699.576010647942,170,367
SuperMarioBros-1-1-v0,25,604.0,713.3004340103695,112,378
SuperMarioBros-1-1-v0,26,607.0,687.0861804873444,129,375
SuperMarioBros-1-1-v0,27,250.0,568.7219699859619,30,394
SuperMarioBros-1-1-v0,28,1030.0,706.903754369309,219,357
SuperMarioBros-1-1-v0,29,250.0,673.2780858357747,30,395
SuperMarioBros-1-1-v0,30,626.0,629.2161401367188,75,385
SuperMarioBros-1-1-v0,31,251.0,568.0069658833165,31,394
SuperMarioBros-1-1-v0,32,1338.0,718.461209640503,200,361
SuperMarioBros-1-1-v0,33,737.0,733.1994619973099,158,369
SuperMarioBros-1-1-v0,34,604.0,677.4956153937146,113,378
SuperMarioBros-1-1-v0,35,611.0,801.8604749043783,60,389
SuperMarioBros-1-1-v0,36,250.0,773.9925795237224,30,394
SuperMarioBros-1-1-v0,37,244.0,893.7596098955939,34,394
SuperMarioBros-1-1-v0,38,1039.0,740.7185970470666,209,359
SuperMarioBros-1-1-v0,39,244.0,720.5072636874216,53,390
SuperMarioBros-1-1-v0,40,250.0,749.264315032959,30,394
SuperMarioBros-1-1-v0,41,815.0,728.6191991525931,143,372
SuperMarioBros-1-1-v0,42,1331.0,669.0607849924188,228,355
SuperMarioBros-1-1-v0,43,250.0,1039.6945430386452,31,394
SuperMarioBros-1-1-v0,44,610.0,802.2886442419601,73,386
SuperMarioBros-1-1-v0,45,629.0,802.3111884094948,86,383
SuperMarioBros-1-1-v0,46,236.0,955.5259921482632,35,394
