level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-8-2-v0,0,-4.0,229.65396658182144,320,384
SuperMarioBros-8-2-v0,1,-54.0,6195.471706115093,388,381
SuperMarioBros-8-2-v0,2,-16.0,12455.360059369694,352,383
SuperMarioBros-8-2-v0,3,200.0,460.14706528308443,392,381
SuperMarioBros-8-2-v0,4,224.0,1148.3892488911467,530,374
SuperMarioBros-8-2-v0,5,-11.0,781.0960902537939,318,385
SuperMarioBros-8-2-v0,6,35.0,668.7689846736797,276,387
SuperMarioBros-8-2-v0,7,-64.0,303977.6451579228,412,380
SuperMarioBros-8-2-v0,8,-40.0,185046.35885951127,378,382
SuperMarioBros-8-2-v0,9,216.0,9683.658246010229,380,381
SuperMarioBros-8-2-v0,10,-33.0,1595.3307184431287,360,382
SuperMarioBros-8-2-v0,11,-60.0,1132.6542542663651,398,381
SuperMarioBros-8-2-v0,12,26.0,855.096753106601,276,387
SuperMarioBros-8-2-v0,13,177.0,712.6176400904753,490,376
SuperMarioBros-8-2-v0,14,113.0,602.4995719545028,136,394
SuperMarioBros-8-2-v0,15,39.0,796.6295416458794,276,387
SuperMarioBros-8-2-v0,16,145.0,763.5881245395177,884,356
SuperMarioBros-8-2-v0,17,1.0,791.3982820034028,320,384
SuperMarioBros-8-2-v0,18,138.0,2442.555040754121,116,395
SuperMarioBros-8-2-v0,19,213.0,3064.553379119711,376,382
SuperMarioBros-8-2-v0,20,263.0,24977.61234211576,276,387
SuperMarioBros-8-2-v0,21,84.0,980007.3235122472,292,386
SuperMarioBros-8-2-v0,22,-101.0,28214.93992917095,2982,251
SuperMarioBros-8-2-v0,23,-51.0,682.884384431337,380,381
SuperMarioBros-8-2-v0,24,-1.0,682.1031678439649,326,384
SuperMarioBros-8-2-v0,25,66.0,414.4062880392574,726,364
SuperMarioBros-8-2-v0,26,-17.0,463.51473736618505,330,384
SuperMarioBros-8-2-v0,27,177.0,648.1375452224098,554,373
